Portal,Region Focus,API Access,API Cost,Scraping Allowed,Access Notes,Nature of Jobs Posted
LinkedIn Jobs,Global,No (search/export API not public),N/A - Recruiter System Connect ~$900/month/seat for enterprise ATS partners only,No - explicitly prohibited in ToS, active anti-bot enforcement,Only a Job Posting API exists for approved ATS partners to publish jobs; no API to search or pull listings; new partnerships largely closed,"White-collar, corporate, professional, executive, tech, sales, and freelance/contract roles across all industries and seniority levels"
Indeed,Global,Limited - Publisher Search API deprecated,Free publisher ID for legacy widgets; no active job-search API,No - ToS prohibits scraping; uses bot detection (Cloudflare/PerimeterX),"Employer/ATS feed submission (XML) is the supported route for posting; consumption of listings via API is effectively discontinued","Broad and unfiltered - blue-collar, white-collar, gig, part-time, and full-time roles across every industry and seniority level"
Glassdoor,Global,No public API,N/A,No - ToS prohibits automated access,Owned by Indeed/Recruit Holdings; no developer API since 2020,"Corporate and professional roles, paired with salary and company review data"
ZipRecruiter,US-focused,Yes - limited Job Search API for select partners,Free tier with rate limits; paid partner tiers undisclosed,Discouraged - ToS restricts scraping,API mainly available to aggregator/partner sites, not general public,"SMB and enterprise roles, heavy in retail, hospitality, healthcare, and skilled trades"
Monster,Global,No public API (legacy API retired),N/A,No - ToS prohibits scraping,Previously had a public API; retired; posting now via employer portal or ATS integration,"Traditional white-collar and blue-collar roles across industries, resume database access for employers"
Naukri.com,India,No official public API,N/A,Gray area - many third-party scrapers operate (Apify, ScrapingBee, TheirStack) extracting public listings; against ToS if done without permission,Naukri offers employer-side Recruiter APIs (RMS integration) for paying corporate clients only,"India-centric white-collar and IT/tech-heavy roles, spans entry-level to senior management"
Indeed India,India,Same as global Indeed,N/A,No,Subset of global Indeed policies,"Broad mix of blue-collar and white-collar roles across India"
Foundit (Monster India),India,No public API,N/A,Gray area / generally against ToS,Employer-side integrations only,"India-centric corporate and IT roles"
Shine.com,India,No public API,N/A,Gray area,Employer job-posting portal, no developer API,"Entry to mid-level roles across India, strong in IT, BPO, and sales"
Indeed (Employer Feed),Global,Yes - for employers only (XML job feed),Free for employers to submit,N/A - this is a submission channel, not extraction,Employers push job data to Indeed; not for third-party consumption,"Employer-controlled - any industry"
Google for Jobs (via schema.org),Global,Indirect - structured data ingestion, not a query API,Free (uses JobPosting schema markup),Not applicable - aggregates from other sites' structured data,No direct search API; Google crawls employer/job-board pages with JobPosting schema markup,"Aggregates jobs from thousands of job boards and company career pages - all industries"
GitHub Jobs (Discontinued),Global,Discontinued 2021,N/A,N/A,Service shut down; historical reference only,"Formerly tech/developer roles"
Stack Overflow Jobs (Discontinued),Global,Discontinued 2022,N/A,N/A,Service shut down,"Formerly software engineering and tech roles"
AngelList / Wellfound,Global (startups),No public search API,N/A,No - ToS prohibits scraping,Employer posting via platform only; some limited partner integrations exist,"Startup and early-stage company roles - engineering, product, design, growth"
Adzuna,Global (UK/US/AU/etc.),Yes - official public Job Search API,Free tier (limited calls/day); paid tiers for higher volume,Not needed - official API covers this use case,"One of the few job boards with a genuinely open, well-documented public API","Aggregated listings pulled from thousands of sources - all industries and levels"
Jooble,Global,Yes - official Partner API (aggregator feed),Free to apply; revenue-share/CPC model for partners,Not needed - API available,Primarily meant for job aggregator partners wanting to redistribute Jooble's feed,"Aggregated listings across all industries, similar to Indeed's model"
Careerjet,Global,Yes - official Partner API,Free registration; CPC-based partner model,Not needed - API available,Aggregator-style API similar to Adzuna and Jooble,"Aggregated global listings across all sectors"
USAJobs,US Government,Yes - official free public API,Free (requires free API key),Not needed - open API,Official US federal government jobs board with fully documented REST API,"US federal government positions across all agencies and grades"
Reed.co.uk,UK,Yes - official public API,Free,Not needed - open API,Reed provides a documented, free REST API for job search,"UK-focused roles across all industries"
The Muse,US,Yes - official public API,Free with API key, rate-limited,Not needed - open API,Offers a documented public API for job listings and company profiles,"Curated white-collar and professional roles, strong in media, tech, and nonprofit"
SimplyHired,Global,No active public API (legacy retired),N/A,No,Owned by Recruit Holdings (same parent as Indeed); functions mostly as an aggregator now,"Aggregated listings across industries"
CareerBuilder,US,No public API (employer-only integrations),N/A,No - ToS prohibits scraping,API access limited to paying enterprise/ATS partners,"Traditional white and blue-collar roles across the US"
Dice,US,No public search API,N/A,No,Employer posting and ATS integrations only,"Technology and IT-specific roles: developers, engineers, cybersecurity, data"
Upwork,Global (freelance),Yes - official API for freelancers/agencies/enterprise,Free with OAuth registration; Enterprise API requires paid plan,Not needed - open API for approved apps,Requires app approval via Upwork Developer Program; strict usage policies,"Freelance and contract work: dev, design, writing, marketing, admin, consulting"
Fiverr,Global (freelance/gig),No public job-search API (Fiverr Pro has limited partner APIs),N/A for general use,No - ToS prohibits scraping,Mostly a gig marketplace, not a traditional job board,"Freelance gig-based tasks: design, writing, dev, marketing, video, voice"
Freelancer.com,Global (freelance),Yes - official public API,Free registration; usage-based limits,Not needed - open API,Well documented API for projects, bids, and freelancer data,"Freelance and contract-based projects across all skill categories"
Toptal,Global (freelance, vetted),No public API,N/A,No,Closed vetting-based freelance marketplace,"High-end freelance/consulting: dev, design, finance, project management"
GitHub Careers (Company Page),N/A,N/A,N/A,N/A,Individual company career pages, not a portal,N/A
Indeed Hiring Platform,Global,Employer-only integration API,Paid (part of Indeed employer products),N/A,For employers managing postings, not third-party data pull,"Employer-managed, all industries"
LinkedIn Talent Solutions,Global,Yes - enterprise only via Recruiter System Connect,Paid - enterprise contracts (~$900+/month/seat),No,Requires formal LinkedIn partnership agreement; not self-serve,"All industries, primarily white-collar and professional recruiting"
Handshake,US (early career/campus),No public API (university/employer partner integrations only),N/A,No,Closed platform requiring university or employer verification,"Entry-level, internship, and early-career roles"
Built In,US (tech hubs),No public API,N/A,No,Regional tech-focused job board (Built In NYC, Built In SF, etc.),"Tech, startup, and engineering-focused roles"
We Work Remotely,Global (remote),No public API,N/A,Gray area - some third-party scrapers exist, against ToS,Employer-paid posting model,"100% remote roles across dev, design, marketing, customer support"
Remote OK,Global (remote),Yes - unofficial-but-published JSON feed,Free,Effectively allowed via published JSON endpoint,Publishes a public JSON feed of listings intended for reuse,"100% remote roles, tech-heavy"
FlexJobs,Global (remote/flexible),No public API,N/A - subscription-based for job seekers,No - paywalled and ToS prohibits scraping,Curated/vetted remote and flexible listings behind a paywall,"Remote, flexible, freelance, and part-time roles across industries"
Jobs.gov / State portals,Country-specific Govt,Varies by country; many offer open data APIs,Usually free (open government data),Not needed where open data exists,"Examples: USAJobs (US), NHS Jobs (UK), MyCareersFuture (Singapore)","Public sector and government positions"
Snagajob,US,No public API,N/A,No,Employer-paid posting model,"Hourly, retail, and service-industry jobs"
Indeed Assessments / Employer APIs,Global,Paid employer-only APIs,Paid (bundled with Indeed employer products),N/A,Not for general job-data consumption,N/A
Remotive,Global (remote),Yes - official public API,Free,Not needed - open API,"Documented REST API (remotive.com/api/remote-jobs) returns curated remote listings, tech-heavy","Remote-only roles across dev, design, marketing, customer support, product"
JustRemote,Global (remote),No public API,N/A,Gray area - against ToS,Employer-paid posting model,"Remote-only roles across tech, marketing, and design"
Working Nomads,Global (remote),No public API,N/A,Gray area,Curated remote-job newsletter/board, manually vetted,"Remote roles across tech, marketing, writing, and customer support"
Remote.co,Global (remote),No public API,N/A,Gray area,Community and curated listings, employer-paid,"100% remote roles across all industries, skews professional/office roles"
NoDesk,Global (remote),No public API,N/A,Gray area,Curated design/dev/marketing-focused remote board,"Remote roles in design, dev, marketing, writing"
Jobspresso,Global (remote),No public API,N/A,Gray area,Hand-screened remote listings, employer-paid,"Remote roles across tech, marketing, customer support, and business"
Dynamite Jobs,Global (remote),No public API,N/A,Gray area,Curated remote board with newsletter model,"Remote roles across startups and small/medium businesses"
SkipTheDrive,US-focused (remote),No public API,N/A,Gray area,Aggregates remote listings from other boards,"Remote and telecommute roles across industries, skews administrative/customer service"
DailyRemote,Global (remote),No public API,N/A,Gray area,Aggregator-style remote board,"Remote roles across tech, marketing, and support functions"
FlexJobs Remote,Global (remote),See FlexJobs above,N/A - subscription,No,Duplicate listing focus of FlexJobs specific to remote filter,"Remote and flexible-schedule professional roles"
The Ladders,US,No public API,N/A - subscription for job seekers,No - ToS prohibits scraping,Curated board focused on $100K+ salaried roles, employer and candidate paid tiers,"Senior, executive, and high-salary professional roles across finance, tech, sales, ops"
CareerOneStop,US (Dept. of Labor),Yes - official public API (part of DOL),Free (requires registration for API key),Not needed - open government API,Sponsored by US Department of Labor; aggregates state job banks and labor market data,"All industries; strong for labor market/wage data alongside listings"
State Job Banks (via CareerOneStop),US (state-level),Varies by state; several offer open data feeds,Usually free,Not needed where open,Each US state runs its own workforce agency job bank,"All industries, strong for local/regional and public-sector roles"
U.S. Chamber / America's Job Center Network,US,No public API,N/A,No,Federally funded local one-stop career centers,"All industries, strong for workforce development and entry-level roles"
Built In (National + regional US hubs),US (tech hubs: NYC, SF, Chicago, Austin, Boston, LA, Seattle, Colorado),No public API,N/A,No,"Regional and vertical editions covering major US tech markets","Tech, startup, and engineering-focused roles, US metro-specific"
eFinancialCareers,Global (finance hubs: US/UK/Asia),No public API,N/A,No - ToS prohibits scraping,Premier finance-sector board owned by DHI Group; employer/agency paid postings,"Investment banking, private equity, hedge funds, asset management, fintech, risk, quant roles"
Ivy Exec,US (executive/finance),No public API,N/A - candidate subscription + employer paid postings,No,Curated, membership-gated board for senior/executive finance and consulting roles,"Executive, MBA-level, private equity, consulting, and corporate strategy roles"
Selby Jennings,US/Global (finance recruiting firm),No public API,N/A,No,Specialist recruitment firm job board (Phaidon International group), not self-serve posting,"Private equity, investment banking, hedge fund, and quant finance roles"
Glocap,US (PE/hedge fund/finance),No public API,N/A,No,Boutique recruiting firm specializing in buy-side finance placements,"Private equity, hedge fund, venture capital, and asset management roles"
CFA Institute Career Center,Global (finance),No public API,N/A - free for job seekers, paid employer postings,No,Professional-association job board tied to CFA membership,"Investment management, private equity, research, and portfolio management roles"
PE Hub / Buyouts Insider Jobs,US/Global (private equity),No public API,N/A,No,Editorial PE news site with an affiliated jobs section, employer-paid,"Private equity, venture capital, and M&A advisory roles"
Management Consulted Job Board,US/Global (consulting),No public API,N/A - free for candidates, paid employer postings,No,Niche board run by a consulting-focused career coaching firm,"Strategy and management consulting roles at MBB, Big 4, and boutique firms"
Consulting.com / Firsthand (Vault),US (consulting/MBA),No public API,N/A,No,Career-research platform with firm rankings and a jobs section, largely MBA-recruiting focused,"Management consulting and MBA-track corporate roles"
WorkInDataCenter.com,US/Global (data center industry),No public API,N/A,No,Niche board dedicated exclusively to data center industry roles,"Data center technicians, facility engineers, electricians, project managers, operations"
AFCOM Career Center,US/Global (data center/IT infrastructure),No public API,N/A - free for job seekers, paid employer postings,No,Job board run by AFCOM, the data center professional association,"Data center operations, IT infrastructure, facilities management, and engineering roles"
Pkaza Critical Facilities Recruiting,US/Global (data center/mission-critical),No public API,N/A,No,Boutique staffing firm specializing in mission-critical facilities and data centers,"Data center engineering, commissioning, critical facilities operations, construction management"
LVI Associates,US/Global (data center/infrastructure recruiting),No public API,N/A,No,Specialist recruitment firm (Phaidon International group) for data center and infrastructure talent,"Data center design, build, and operations roles - engineering, MEP, construction"
TRS Staffing Solutions,US/Global (data center recruiting),No public API,N/A,No,Specialist staffing firm focused exclusively on data center recruitment,"Data center technicians, engineers, and operations/maintenance roles"
Data Center Coalition Careers,US (industry association),No public API,N/A,No,Industry-association careers/resources page, not a full job board,"Data center policy, sustainability, and industry-adjacent roles"
Wellfound (Startup Focus),Global (startups, strong US),No public search API,N/A,No - ToS prohibits scraping,"Largest dedicated startup marketplace; 30,000+ startups with equity/salary transparency, company stage and funding data","Early to growth-stage startup roles across eng, product, design, growth, sales, ops"
Y Combinator Work at a Startup,Global (YC portfolio, strong US),No public API,N/A - free,No,"Exclusive to YC-backed companies (4,000+ since 2005); one application reaches the whole network","Startup roles across all functions at YC-backed companies, seed to growth stage"
AngelList Talent,Global (startups),See Wellfound (rebranded),N/A,No,Wellfound is the rebranded/successor product of AngelList Talent,"Same as Wellfound - startup and early-stage roles"
Otta,Global (tech startups, strong UK/US),No public API,N/A - free for job seekers,No,Curated startup/scaleup board with algorithmic matching and salary transparency,"Tech and startup roles across eng, product, design, and go-to-market"
Startup.jobs,Global (startups),No public API,N/A,No,Aggregator/review site covering hundreds of startup-focused job boards,"Startup roles across all functions and industries"
Built In (Startup channel),US (metro startup hubs),No public API,N/A,No,Startup-tagged listings within Built In's regional editions,"Startup and scaleup roles in major US tech metros"
VentureFizz,US (New England startups),No public API,N/A,No,Regional startup/tech job board with editorial content on the local startup ecosystem,"Startup and tech roles concentrated in the Boston/New England ecosystem"
Crunchboard (Crunchbase Jobs),Global (VC-backed startups),No public API for job search (Crunchbase itself has a paid company-data API),Crunchbase data API is paid; job board itself is free to browse,No,Job board tied to Crunchbase's company/funding database, filterable by funding stage and investor,"Roles at VC-funded startups across all functions, filterable by funding round"
VC Stack / Venture Capital Careers,US/Global (VC industry itself),No public API,N/A,No,Niche boards for jobs inside VC firms (not portfolio companies),"Venture capital roles: analysts, associates, principals, platform/operations roles at VC funds"
Climatebase,Global (climate tech),No public API,N/A - free for job seekers, paid employer postings,No,Leading climate-focused job board with a fellowship/community program,"Climate tech, clean energy, sustainability, and climate policy roles"
Climate Draft,Global (climate tech VC portfolios),No public API,N/A,No,Aggregates jobs specifically across climate-tech VC firms' portfolio companies,"Climate tech startup roles across engineering, ops, and commercial functions"
CTVC Jobs,Global (climate tech/climate finance),No public API,N/A,No,Niceboard-hosted board run by the CTVC climate-tech newsletter/media brand,"Climate tech and climate finance roles at startups and funds"
Greenwork,US (hands-on climate work),No public API,N/A,No,Professional network for field/technical climate roles,"Electricians, engineers, technicians, and manufacturing roles in the clean economy"
Hitmarker,Global (gaming/esports - innovation-adjacent),No public API,N/A,No,Niche board for gaming and esports industry,"Game development, esports operations, and gaming-adjacent tech roles"
Web3.career,Global (crypto/blockchain/deep tech),Yes - unofficial public JSON/API feed,Free,Effectively allowed via published feed,Publishes structured listing data intended for reuse; niche deep-tech vertical,"Blockchain, crypto, and Web3 engineering and operations roles"
Handshake,US (college/university),No public API (university/employer partner integrations only),N/A,No,"Verified campus recruiting platform; 14M+ students/recent grads across 1,400+ campuses, closed access requiring school or employer verification","Internships and entry-level jobs across all industries, campus recruiting focus"
WayUp,US (college students/recent grads),No public API,N/A,No,"Curated platform weighting extracurriculars/soft skills; 7,100+ schools represented, employer-paid","Internships and entry-level jobs, strong emphasis on diversity-focused hiring"
RippleMatch,US (college students/recent grads),No public API,N/A,No,AI-driven matching platform (~2M student users), employer-paid, no self-serve browsing without matching,"Entry-level and internship roles matched via AI to student profiles/skills"
College Recruiter,US (students/recent grads/entry-level),No public API,N/A,No,Aggregator-style board specializing in part-time, internship, and entry-level roles,"Entry-level, internship, and part-time jobs across all industries"
Chegg Internships (Internships.com legacy),US (students),No public API,N/A,No,Internship-focused board now under Chegg,"Internships across all industries and academic disciplines"
LinkedIn Student Jobs / Early Talent,Global (students),See LinkedIn Jobs above,N/A,No,"Filtered view of LinkedIn Jobs for internships/entry-level; same access restrictions as core LinkedIn platform","Internship and entry-level roles across all industries"
Poets&Quants MBA Jobs,Global (MBA/business school),No public API,N/A,No,Editorial B-school media site with an MBA-specific jobs and employment-outcomes section,"Post-MBA roles in consulting, finance, tech, and general management"
MBA Exchange,US/Global (MBA),No public API,N/A - subscription for candidates, paid employer postings,No,Filtered MBA-level listings (full-time and internship) with employer recruiting data and rankings,"MBA-level jobs and leadership-development programs, strong in consulting/finance/general management"
Poets&Quants for Execs,Global (Executive MBA),No public API,N/A,No,Companion site to Poets&Quants focused on Executive MBA programs and career outcomes,"Executive-level roles tied to Executive MBA career outcomes"
MBA CSEA (Career Services & Employer Alliance),US/Global (MBA career services),No public API,N/A - membership-based (schools/employers),No,"Industry association connecting MBA career-services offices and employers, not a public job board","MBA-level recruiting coordination; no direct public listings"
Vault (Firsthand) MBA Rankings & Jobs,US (MBA/consulting),See Firsthand/Vault above,N/A,No,Career-research platform with firm rankings feeding into MBA recruiting cycles,"Consulting, finance, and general-management roles tied to top MBA programs"
Symplicity / 12Twenty (Campus Career Platforms),US (university career centers),No public API for general use; schools license the platform,Paid - licensed to universities, not directly accessible to public,No,"Backend systems many business schools use to manage recruiting and post jobs to students; access gated by school login","All industries; roles curated specifically for each school's student population"
MyVisaJobs,US (H-1B/visa sponsorship data),No public API,N/A - free basic access, paid premium reports,No,"Aggregates historical LCA/labor-certification filings since 2000 to show which employers sponsor; primarily a sponsor-lookup database, not a live job board","All industries; used to identify H-1B and green-card sponsoring employers before applying elsewhere"
H1BGrader,US (H-1B data/analytics),No public API,N/A - free with paid premium tiers,No,"Aggregates DOL/USCIS data for approval trends, wage positioning, and employer grading","All industries; sponsor-research tool rather than a direct job listing source"
H1BVisaJobs,US (H-1B sponsorship jobs),No public API,N/A,No,"Live job board of 5,000+ roles built on 1.7M+ DOL LCA disclosure records (FY2022-FY2025), filtered to verified H-1B sponsors","All industries, skews tech/engineering; roles specifically at confirmed H-1B sponsoring employers"
Migrate Mate,US (visa sponsorship job search),No public API,N/A - subscription-based,No,Aggregates listings from employers with a track record of visa sponsorship; adds filtering/outreach tools,"All industries; targeted at international professionals seeking US visa-sponsored roles"
OPTnation,US (OPT/CPT/STEM OPT/F-1),No public API,N/A - free for students, paid employer postings,No,Dedicated OPT/CPT job portal for F-1 international students including STEM OPT extension roles,"Entry-level and professional roles across industries, focused on OPT/CPT work-authorization eligible positions"
Interstride,US (F-1/J-1 international students),No public API; offers a browser extension overlaying H-1B data on other job boards,Free for students at partner universities (institutionally licensed); not directly public,No,"Career platform built specifically for international students; combines job board with visa/country guides and H-1B filing-data overlay","All industries; curated toward international-friendly and visa-sponsorship-likely employers"
United OPT,US (CPT/OPT for F-1 students),No public API,N/A,No,Niche board and resource site focused on CPT job opportunities for F-1 students,"Entry-level and part-time roles suited to concurrent CPT work authorization"
Scale.jobs,US (H-1B/visa sponsorship focus),No public API,N/A - subscription-based coaching + job matching,No,"Combines a curated visa-sponsor employer list with application-assistance services, updated with annually sponsoring industries","All industries; emphasis on tech, engineering, and roles at companies actively renewing H-1B sponsorship"
Handshake (International Student Filter),US (F-1/OPT via university),See Handshake above,N/A,No,"Same platform as core Handshake; many university career centers flag OPT/CPT-friendly employers within it","Internship and entry-level roles, filtered for OPT/CPT-eligible postings where flagged by schools"
