Name,Category,Stars,Forks,Status,Description,URL
JobSpy,Job Scraper,3800,754,Active,Python library scraping LinkedIn Indeed Glassdoor ZipRecruiter Google Jobs and more concurrently,https://github.com/speedyapply/JobSpy
JobFunnel,Job Scraper,2200,261,Archived,Scrapes job websites into a single spreadsheet with no duplicates,https://github.com/PaulMcInnis/JobFunnel
jobhive (ats-scrapers),Job Data / Scraper,86,18,Active,Open dataset and toolkit scraping jobs directly from ATS platforms (Greenhouse Lever Ashby Workday etc.),https://github.com/kalil0321/ats-scrapers
linkedin-jobs-scraper,Job Scraper,178,47,Active (low maintenance),Headless-browser scraper for public LinkedIn job listings,https://github.com/spinlud/linkedin-jobs-scraper
Apify-Google-Jobs-Scraper,Job Scraper,9,3,Active,Extracts job postings aggregated by Google Jobs across sources,https://github.com/orgupdate/Apify-Google-Jobs-Scraper
awesome-job-boards,Curated List,972,212,Active,Curated list of job boards across categories and countries,https://github.com/emredurukn/awesome-job-boards
awesome-remote-job,Curated List,unverified (see note),unverified,Active,Curated list of remote job resources; exact star count could not be reliably confirmed in this session,https://github.com/lukasz-madon/awesome-remote-job
Reactive Resume,Resume Builder,38300,4300,Active,Privacy-focused free resume builder with self-hosting and AI integrations,https://github.com/amruthpillai/reactive-resume
OpenResume,Resume Builder + Parser,8700,996,Active,Browser-only resume builder and ATS-readability parser,https://github.com/xitanggg/open-resume
Resume Matcher,Resume/ATS Matching,27200,4900,Active,AI-powered resume tailoring scoring and keyword matching against job descriptions,https://github.com/srbhr/Resume-Matcher
ResumeLM,AI Resume Builder,300,127,Active,Open-source AI resume builder with ATS scoring and cover letter generation,https://github.com/olyaiy/resume-lm
Resume-Builder (blopa),Resume Builder,247,49,Active,Google Spreadsheet/JSON-driven resume and cover letter builder,https://github.com/blopa/Resume-Builder
ResumeItNow,Resume Builder,26,14,Active,Free AI-powered resume builder with ATS-friendly templates,https://github.com/maheshpaulj/ResumeItNow
ATS Screener,ATS Simulator,56,10,Active,Simulates 6 real ATS platforms (Workday Taleo iCIMS Greenhouse Lever SuccessFactors) to score resumes,https://github.com/sunnypatell/ats-screener
Resume-Matcher-ATS-Scanner,ATS Analysis (academic project),1,1,Active,Flask/NLP-based ATS resume scanning analysis platform with Tableau dashboard,https://github.com/sualehalam/Resume-Matcher-ATS-Scanner
Smart AI Resume Analyzer,Resume Builder + Analyzer,~180 (approx),unverified,Active,Resume builder plus ATS-friendly AI analysis and job search features,https://github.com/Hunterdii/Smart-AI-Resume-Analyzer
JSON Resume Schema,Resume Data Standard,2400,295,Moved/Archived,Canonical open JSON schema for resumes; moved into jsonresume/jsonresume.org monorepo,https://github.com/jsonresume/resume-schema
career-ops,AI Job Search System (Claude Code based),~57600 (approx, unverified),unverified,Active,AI-powered end-to-end job search system built on Claude Code: 14 skill modes, offer scoring (A-F across 10 dimensions), tailored ATS-optimized PDF resumes per job, auto-scans Greenhouse/Ashby/Lever/company portals, Go dashboard, batch processing of 10+ offers in parallel,https://github.com/santifer/career-ops
job-ops (JobOps),AI Job Search Pipeline (self-hosted),3400,422,Active,"Self-hosted DevOps-style pipeline: searches 10+ job boards (LinkedIn Indeed Glassdoor Adzuna Hiring Cafe etc.), AI-scores fit 0-100, tailors CV per job, exports PDF, tracks applications via Gmail auto-detection of interviews/rejections. Does not auto-apply by design.",https://github.com/DaKheera47/job-ops
Jobs_Applier_AI_Agent_AIHawk,AI Auto-Apply Agent,30000,4600,Archived (core still usable; 3rd-party plugins removed),The original AI job-application agent that applies to jobs in a tailored way using LLMs; media-famous (Business Insider TechCrunch Wired etc.),https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
Auto_job_applier_linkedIn,LinkedIn Auto-Apply Bot,2400,667,Active,Selenium-based bot that searches LinkedIn jobs answers application questions tailors resume from job info and auto-applies; includes local web UI for applied-jobs history,https://github.com/GodsScion/Auto_job_applier_linkedIn
ApplyPilot,Full Autonomous Job-Application Pipeline,1000,343,Active,"6-stage pipeline: discovers jobs across 5+ boards plus Workday/direct career sites, AI-scores fit, tailors resume per job, writes cover letters, and auto-submits via Claude Code + Playwright browser automation",https://github.com/Pickle-Pixel/ApplyPilot
EasyApplyJobsBot,LinkedIn/Glassdoor Easy-Apply Bot,778,223,Active (rebranded commercially as Apllie; free tier remains open-source),Python bot for auto-applying to Easy Apply jobs across LinkedIn Glassdoor and others with auto-fill of custom questions; pro features now sold via Apllie.com,https://github.com/wodsuz/EasyApplyJobsBot
AutoApplyMax,Chrome Extension Auto-Apply,36,10,Active,Open-source core of an AI-powered Chrome extension auto-applying on LinkedIn Indeed Glassdoor WTTJ with paid dashboard add-ons for AI resume/cover-letter generation and ATS scoring,https://github.com/Azoo92i/AutoApplyMax
LinkedIn-GPT-EasyApplyBot,LinkedIn Easy-Apply Bot (LLM Q&A),53,25,Deprecated by author (recommends resume optimization instead),Fork of EasyApplyBot using GPT to answer open-ended application questions instead of static keyword rules,https://github.com/JorgeFrias/LinkedIn-GPT-EasyApplyBot
