Name,Type,Free/Cost,Description,URL
USAJobs API,API,Free,Official US federal government jobs API,https://developer.usajobs.gov/
Adzuna API,API,Free tier,Job listing aggregator API across multiple countries,https://developer.adzuna.com/
Jooble API,API,Free,Job search aggregator API,https://jooble.org/api/about
Remotive API,API,Free,Remote-only job listings API,https://remotive.com/api-documentation
Arbeitnow API,API,Free (no key required),Job board API focused on tech/EU roles,https://www.arbeitnow.com/blog/job-board-api
The Muse API,API,Free tier,Job listings and company profiles API,https://www.themuse.com/developers/api/v2
Greenhouse Job Board API,API,Free (public GET endpoints),Public job listings for companies using Greenhouse ATS,https://developers.greenhouse.io/job-board.html
Lever Postings API,API,Free (public GET endpoints),Public job postings for companies using Lever ATS,https://github.com/lever/postings-api
Workable API,API,Free tier,Job board API for companies using Workable ATS,https://workable.readme.io/docs
SmartRecruiters Posting API,API,Free (public endpoints),Public job postings for companies using SmartRecruiters,https://developers.smartrecruiters.com/docs/job-postings
Ashby Job Board API,API,Free (public endpoints),Public job postings for companies using Ashby ATS,https://developers.ashbyhq.com/
LinkUp Job Search API,API,Free tier,Aggregated job search API sourced directly from employer sites,https://www.linkup.com/products/api
Skills Profiler API,API,Free,Job and skills data API,https://www.freepublicapis.com/free-jobs-api
Job Datafeeds (Techmap),API,Free tier (1k jobs/month),Aggregator covering 250 countries and 127+ sources,https://jobdatafeeds.com/job-api
RemoteOK API,API,Free (no key required),JSON feed of remote job listings,https://remoteok.com/api
Himalayas Jobs API,API,Free,Remote job listings API,https://himalayas.app/jobs/api
Indeed RSS Feeds,Feed,Free (no key required),RSS-based job listings from Indeed,https://www.indeed.com/rss
We Work Remotely RSS,Feed,Free (no key required),RSS feed of remote job listings,https://weworkremotely.com/remote-jobs.rss
Stack Overflow Jobs Feed (archived),Feed,Free,Historical RSS feed format for tech jobs (service discontinued but format widely copied),https://stackoverflow.com/jobs/feed
JobSpy,Open-source repo,Free,Python library scraping LinkedIn Indeed Glassdoor ZipRecruiter Google Jobs and more concurrently,https://github.com/speedyapply/JobSpy
JobFunnel,Open-source repo,Free,Scrapes job websites into a single spreadsheet with no duplicates,https://github.com/PaulMcInnis/JobFunnel
ats-scrapers (jobhive),Open-source repo,Free,Building the largest open-source ATS job dataset by scraping Greenhouse Lever Ashby Workday and BambooHR directly,https://github.com/kalil0321/ats-scrapers
linkedin-jobs-scraper,Open-source repo,Free,Community scraper for LinkedIn job listings,https://github.com/spinlud/linkedin-jobs-scraper
Apify Google Jobs Scraper,Open-source repo,Free (open-source; Apify platform usage may cost),Extracts real-time job postings from Google Jobs aggregated results,https://github.com/orgupdate/Apify-Google-Jobs-Scraper
JobApis (JobsToMail),Open-source repo,Free,Self-hostable open-source project for job alerts via multiple job board APIs,https://jobapis.github.io/open-source/
JobApis (JobsMulti),Open-source repo,Free,PHP client for accessing multiple job board APIs with one interface,https://jobapis.github.io/open-source/
awesome-job-boards,Open-source repo (curated list),Free,Curated list of job boards including niche and ATS-fed boards,https://github.com/emredurukn/awesome-job-boards
awesome-remote-job,Open-source repo (curated list),Free,Curated list of remote job resources and APIs,https://github.com/lukasz-madon/awesome-remote-job
publicapis.dev Jobs Category,Directory,Free,Directory listing top job APIs for developers,https://publicapis.dev/category/jobs
