skill,cluster,why_it_dilutes,recommendation
pg-browser-verify-game,PeopleGamez,Belongs to a different project (PeopleGamez game platform); irrelevant to Bridge,Disable for Bridge
pg-bug-tracker,PeopleGamez,PeopleGamez-specific bug ledger; conflicts with Bridge's own docs/BUGS.md protocol,Disable for Bridge
pg-game-design,PeopleGamez,Game-design workflow unrelated to an adaptive-workspace platform,Disable for Bridge
pg-game-integration,PeopleGamez,Game-package integration for another repo,Disable for Bridge
pg-game-release-test,PeopleGamez,Game release gate for another repo,Disable for Bridge
brand-voice,Marketing/Brand,Sales/marketing brand-voice generation; pushes CRM/sales framing the vision rejects,De-scope
brand-voice:brand-voice-enforcement,Marketing/Brand,Brand-content enforcement irrelevant to a privacy-first kernel,De-scope
brand-voice:discover-brand,Marketing/Brand,Searches enterprise platforms for brand assets; outward-data-flow anti-pattern,De-scope
brand-voice:generate-guidelines,Marketing/Brand,Brand guideline generation off-vision,De-scope
marketing:campaign-plan,Marketing,Campaign planning; not a Bridge engineering concern,De-scope
marketing:email-sequence,Marketing,Outbound email sequences; CRM/sales framing rejected by vision,De-scope
marketing:content-creation,Marketing,Marketing copy; dilutes engineering focus,De-scope
marketing:seo-audit,Marketing/SEO,SEO audit; no SEO surface in a local-first desktop app,De-scope
marketing:performance-report,Marketing,Ad/marketing performance reporting; irrelevant,De-scope
seo,SEO,Technical SEO; Bridge has no public web-SEO surface,De-scope
sales:daily-briefing,Sales,Sales pipeline briefing; CRM framing the vision explicitly rejects,De-scope
sales:pipeline-review,Sales,"Pipeline" is banned kernel vocab; actively reinforces anti-vision framing,Disable for Bridge
sales:draft-outreach,Sales,Cold outreach; contradicts trust-first/consent posture,De-scope
sales:forecast,Sales,Sales forecasting; not a Bridge concern,De-scope
sales:account-research,Sales,CRM account research; overlaps but wrong framing (use Recon under governance),De-scope
apollo:prospect,Sales/Enrichment,Lead-prospecting via Apollo; outward enrichment outside the governed gate,De-scope
apollo:enrich-lead,Sales/Enrichment,"Lead" is banned kernel vocab; egress enrichment bypassing broker,Disable for Bridge
apollo:sequence-load,Sales/Enrichment,Outbound sequence loading; CRM anti-pattern,De-scope
finance:journal-entry,Finance,Accounting workflow unrelated to Bridge,Disable for Bridge
finance:reconciliation,Finance,Financial reconciliation; not a Bridge concern,Disable for Bridge
